"category","question","option1","option2","option3","option4","correctAnswer","difficulty","points","isActive"
"UI/UX Designer","A user testing session reveals users are consistently missing a critical CTA button. What is the *first* step you should take?","Change the button's color to red","Increase the button's size by 50%","Analyze the user flow and button's information scent","Move the button to the top of the page","2","medium","1","true"
"UI/UX Designer","You are designing a complex data dashboard for financial analysts. Which design principle should be your highest priority?","Aesthetic minimalism","Gestalt principles of proximity and similarity","Fitts's Law","Hick's Law","1","medium","1","true"
"UI/UX Designer","What is the primary goal of creating user personas?","To define the project's visual style","To test the website's color palette","To replace the need for usability testing","To foster empathy and guide design decisions","3","medium","1","true"
"UI/UX Designer","In a 'card sorting' exercise, what are you primarily trying to understand?","User's mental model and information hierarchy","User's preferred visual aesthetic","User's device preferences","User's reaction to different color schemes","0","medium","1","true"
"UI/UX Designer","A stakeholder insists on adding a feature you believe will clutter the UI and confuse users. What is the *best* UX-driven approach?","Refuse to add the feature","Politely explain it's a bad idea","A/B test the feature with a small user segment","Add the feature as requested","2","medium","1","true"
"UI/UX Designer","What does the 'A' in the AARRR metrics framework for startups stand for?","Acquisition","Awareness","Adoption","Activation","3","medium","1","true"
"UI/UX Designer","You're designing an error message for a failed login. Which message is the *most* user-friendly?","'Error #401: Auth Failed'","'Invalid username or password.'","'Something went wrong. Please try again.'","'Wrong credentials.'","1","medium","1","true"
"UI/UX Designer","What is the main difference between a 'user journey map' and a 'user flow'?","A journey map is a high-fidelity visual design","A user flow shows multiple paths; a journey map shows one","A user flow maps out screens; a journey map includes user emotions and touchpoints","A journey map is only used for e-commerce","2","medium","1","true"
"UI/UX Designer","Which of these is a 'quantitative' user research method?","User interviews","Contextual inquiry","Usability testing with think-aloud","Analytics review (e.g., click heatmaps)","3","medium","1","true"
"UI/UX Designer","When designing for accessibility (a11y), what is the WCAG-recommended minimum contrast ratio for normal text?","3:1","4.5:1","7:1","2:1","1","medium","1","true"
"UI/UX Designer","A mobile app's sign-up form has a 50% drop-off rate. Which UX heuristic is *most likely* being violated?","User control and freedom","Error prevention","Recognition rather than recall","Flexibility and efficiency of use","1","hard","1","true"
"UI/UX Designer","What is 'Information Architecture' (IA) primarily concerned with?","The visual design of the navigation bar","The structure and organization of content","The loading speed of the website","The choice of typography","1","hard","1","true"
"UI/UX Designer","You need to design a mobile navigation system for an app with 7 primary, equally important categories. Which pattern is *least* suitable?","Tab bar (bottom navigation)","Hamburger menu","Navigation drawer","Segmented control","1","hard","1","true"
"UI/UX Designer","What is the 'peak-end rule' in psychology, and how does it apply to UX?","Users remember the first and last items in a list","Users judge an experience based on its peak (most intense point) and its end","Users prefer symmetrical designs","Users are limited to 7 +/- 2 items in short-term memory","1","hard","1","true"
"UI/UX Designer","A product manager wants to 'just copy the design from [Competitor X]'. What is the strongest counter-argument from a UX perspective?","'Their brand colors are different from ours.'","'We could be sued for copyright.'","'Their user base and business goals might be different from ours.'","'It's unprofessional to copy.'","2","hard","1","true"
